Time (min),Requests
2126,52204
2127,31170
2128,3664
2129,16702
2130,6699
2131,48491
2132,84536
2133,52726
2134,5089
2135,5278
2136,15689
2137,16666
2138,44511
2139,7990
2140,17675
2141,15205
2142,19062
2143,160543
2144,40777
2145,9392
2146,97987
2147,81105
2148,59931
2149,12929
2150,4092
2151,47747
2152,10422
2153,44851
2154,49272
2155,90601
2156,6079
2157,25078
2158,16451
2159,7498
2160,42446
2161,2672
2162,5071
2163,3300
2164,3260
2165,48858
2166,3614
2167,2386
2168,5024
2169,11125
2170,61958
2171,76518
2172,63733
2173,39341
2174,5308
2175,27434
2176,3072
2177,8311
2178,2087
2179,3131
2180,2771
2181,2078
2182,2715
2183,2160
2184,5954
2185,9894
2186,334419
2187,22069
2188,72335
2189,4393
2190,508941
2191,58873
2192,9015
2193,9239
2194,12996
2195,41323
2196,48889
2197,94560
2198,58810
2199,26268
2200,51656
2201,60989
2202,45116
2203,10127
2204,5841
2205,3442
2206,82469
2207,1636
2208,66890
2209,63410
2210,130982
2211,7401
2212,154575
2213,24545
2214,173635
2215,799227
2216,207482
2217,75537
2218,128114
2219,43988
2220,45258
2221,97534
2222,684357
2223,20035
2224,21923
2225,8152
2226,45221
2227,137846
2228,44769
2229,5856
2230,12340
2231,7019
2232,68396
2233,25449
2234,57430
2235,187965
2236,247436
2237,50944
2238,916132
2239,47045
2240,74562
2241,268109
2242,163052
2243,92219
2244,68345
2245,91582
2246,61214
2247,43975
2248,7630
2249,3374
2250,198
2251,7080
2252,319282
2253,3613
2254,6366
2255,1684
2256,1779
2257,87134
2258,473385
2259,919839
2260,16687
2261,2201440
2262,1301366
2263,326344
2264,285958
2265,3904
2266,349810
2267,56375
2268,649484
2269,97238
2270,355584
2271,304459
2272,810038
2273,322980
2274,55590
2275,291136
2276,118507
2277,2228
2278,11480
2279,171450
2280,6931
2281,117328
2282,47862
2283,77917
2284,1930865
2285,5483
2286,5464
2287,9256
2288,10824
2289,412092
2290,48018
2291,1266161
2292,72582
2293,46685
2294,7245
2295,86518
2296,33451
2297,131054
2298,207656
2299,92059
2300,148213
2301,95593
2302,21370
2303,3454
2304,5154
2305,5557
2306,1770425
2307,35815
2308,2272370
2309,126225
2310,25162
2311,8267
2312,9348
2313,6904
2314,11272
2315,694460
2316,27896
2317,76086
2318,1636987
2319,59030
2320,1504
2321,5197
2322,6187
2323,9252
2324,8071
2325,12861
2326,10831
2327,2712
2328,5296
2329,3930
2330,263638
2331,18440
2332,13625
2333,728466
2334,23415
2335,23488
2336,258217
2337,1321712
2338,1245646
2339,287406
2340,83638
2341,3986
2342,324743
2343,4913
2344,261652
2345,10020
2346,24616
2347,281020
2348,4110
2349,279756
2350,26126
2351,162924
2352,263224
2353,267896
2354,1785
2355,18574
2356,109307
2357,681438
2358,7197
2359,252230
2360,262569
2361,354236
2362,1662292
2363,1453856
2364,1727184
2365,850577
2366,2740
2367,263266
2368,1084
2369,534638
2370,1394641
2371,1057797
2372,264075
2373,8074
2374,7544
2375,615905
2376,884071
2377,1075967
2378,73681
2379,401973
2380,335231
2381,116889
2382,105398
2383,1036862
2384,6539
2385,1406185
2386,294981
2387,26069
2388,5786
2389,7634
2390,356960
2391,91689
2392,9439
2393,214819
2394,206132
2395,795101
2396,863212
2397,607462
2398,39648
2399,23732
2400,294418
2401,335492
2402,911751
2403,1223997
2404,2288162
2405,2090169
2406,6812
2407,7812
2408,271669
2409,3764
2410,262830
2411,1998
2412,9495
2413,5344
2414,49380
2415,280706
2416,346261
2417,397653
2418,9557
2419,14643
2420,38911
2421,467390
2422,1126331
2423,368098
2424,432331
2425,59894
2426,1846184
2427,941695
2428,280477
2429,272243
2430,14796
2431,286671
2432,2128004
2433,691491
2434,1755742
2435,1839722
2436,2012
2437,375294
2438,66496
2439,26616
2440,389802
2441,12188
2442,9227
2443,27830
2444,228915
2445,612015
2446,65402
2447,57995
2448,296262
2449,436401
2450,793078
2451,54748
2452,189715
2453,337473
2454,435525
2455,2707022
2456,691186
2457,20902
2458,7038
2459,326783
2460,125372
2461,104131
2462,6457216
2463,82401
2464,28455
2465,43251
2466,73533
2467,34592
2468,84163981
2469,92560279
2470,8104820
2471,266303
2472,25398
2473,7075
2474,2499806
2475,2313154
2476,107526
2477,9867
